================================================================================
HESSIAN SENSITIVITY ANALYSIS REPORT
================================================================================

Layer-wise Sensitivity Summary:
--------------------------------------------------------------------------------
Layer Name                                     Mean        Max        Min        Std
--------------------------------------------------------------------------------
model                                      0.855469   1.781250   0.152344   0.683382
model.model.layers                         0.237859   4.906250   0.001534   0.360339


Parameter-level Hessian Info:
--------------------------------------------------------------------------------
Parameter Name                                              λ_i      n_i          S_i
model.model.layers.13.self_attn.k_norm.weight          0.020630       12   0.00171916
model.model.layers.10.self_attn.q_norm.weight          0.020386       12   0.00169881
model.model.layers.6.self_attn.k_norm.weight           0.020264       12   0.00168864
model.model.layers.10.self_attn.k_norm.weight          0.020142       12   0.00167847
model.model.layers.18.self_attn.k_norm.weight          0.019775       12   0.00164795
model.model.layers.14.self_attn.k_norm.weight          0.019653       12   0.00163778
model.model.layers.0.self_attn.k_norm.weight           0.019409       12   0.00161743
model.model.layers.14.self_attn.q_norm.weight          0.018555       12   0.00154622
model.model.layers.22.self_attn.k_norm.weight          0.018433       12   0.00153605
model.model.layers.5.self_attn.k_norm.weight           0.017944       12   0.00149536
model.model.layers.11.self_attn.q_norm.weight          0.017944       12   0.00149536
model.model.layers.9.self_attn.q_norm.weight           0.017822       12   0.00148519
model.model.layers.4.self_attn.k_norm.weight           0.017578       12   0.00146484
model.model.layers.26.self_attn.q_norm.weight          0.016235       12   0.00135295
model.model.layers.15.self_attn.k_norm.weight          0.016113       12   0.00134277
model.model.layers.7.self_attn.k_norm.weight           0.015869       12   0.00132243
model.model.layers.25.self_attn.q_norm.weight          0.015869       12   0.00132243
model.model.layers.13.self_attn.q_norm.weight          0.015564       12   0.00129700
model.model.layers.16.self_attn.q_norm.weight          0.015564       12   0.00129700
model.model.layers.23.self_attn.q_norm.weight          0.014954       12   0.00124613
model.model.layers.19.self_attn.k_norm.weight          0.014404       12   0.00120036
model.model.layers.8.self_attn.q_norm.weight           0.014343       12   0.00119527
model.model.layers.11.self_attn.k_norm.weight          0.014221       12   0.00118510
model.model.layers.20.self_attn.k_norm.weight          0.013733       12   0.00114441
model.model.layers.24.self_attn.q_norm.weight          0.013245       12   0.00110372
model.model.layers.3.input_layernorm.weight            0.219727      204   0.00107709
model.model.layers.2.input_layernorm.weight            0.211914      204   0.00103879
model.model.layers.16.self_attn.k_norm.weight          0.012390       12   0.00103251
model.model.layers.19.self_attn.q_norm.weight          0.012268       12   0.00102234
model.model.layers.23.self_attn.k_norm.weight          0.011169       12   0.00093079
model.model.layers.22.self_attn.q_norm.weight          0.010498       12   0.00087484
model.model.layers.21.self_attn.q_norm.weight          0.009705       12   0.00080872
model.model.layers.20.self_attn.q_norm.weight          0.009521       12   0.00079346
model.model.layers.27.mlp.up_proj.weight               0.773438     1000   0.00077344
model.model.layers.11.self_attn.v_proj.weight          0.769531     1000   0.00076953
model.model.norm.weight                                0.152344      204   0.00074678
model.model.layers.12.self_attn.v_proj.weight          0.691406     1000   0.00069141
model.model.layers.0.self_attn.o_proj.weight           0.687500     1000   0.00068750
model.model.layers.21.self_attn.k_norm.weight          0.008057       12   0.00067139
model.model.layers.27.self_attn.q_norm.weight          0.008057       12   0.00067139
model.model.layers.6.input_layernorm.weight            0.136719      204   0.00067019
model.model.layers.13.self_attn.v_proj.weight          0.648438     1000   0.00064844
model.model.layers.15.self_attn.v_proj.weight          0.648438     1000   0.00064844
model.model.embed_tokens.weight                        0.632812     1000   0.00063281
model.model.layers.0.post_attention_layernorm.weight     0.126953      204   0.00062232
model.model.layers.14.self_attn.v_proj.weight          0.609375     1000   0.00060937
model.model.layers.2.mlp.up_proj.weight                0.605469     1000   0.00060547
model.model.layers.0.self_attn.v_proj.weight           0.601562     1000   0.00060156
model.model.layers.9.self_attn.v_proj.weight           0.597656     1000   0.00059766
model.model.layers.4.input_layernorm.weight            0.117676      204   0.00057684
model.model.layers.10.self_attn.v_proj.weight          0.574219     1000   0.00057422
model.model.layers.17.self_attn.v_proj.weight          0.574219     1000   0.00057422
model.model.layers.2.mlp.gate_proj.weight              0.562500     1000   0.00056250
model.model.layers.11.post_attention_layernorm.weight     0.113281      204   0.00055530
model.model.layers.27.mlp.gate_proj.weight             0.554688     1000   0.00055469
model.model.layers.25.self_attn.k_norm.weight          0.006592       12   0.00054932
model.model.layers.1.mlp.gate_proj.weight              0.531250     1000   0.00053125
model.model.layers.26.self_attn.k_norm.weight          0.006317       12   0.00052643
model.model.layers.1.mlp.up_proj.weight                0.523438     1000   0.00052344
model.model.layers.16.self_attn.v_proj.weight          0.515625     1000   0.00051563
model.model.layers.10.post_attention_layernorm.weight     0.103027      204   0.00050504
model.model.layers.18.self_attn.v_proj.weight          0.490234     1000   0.00049023
model.model.layers.3.mlp.up_proj.weight                0.470703     1000   0.00047070
model.model.layers.3.self_attn.v_proj.weight           0.468750     1000   0.00046875
model.model.layers.7.self_attn.v_proj.weight           0.468750     1000   0.00046875
model.model.layers.11.self_attn.o_proj.weight          0.458984     1000   0.00045898
model.model.layers.27.self_attn.k_norm.weight          0.005493       12   0.00045776
model.model.layers.6.self_attn.v_proj.weight           0.455078     1000   0.00045508
model.model.layers.5.post_attention_layernorm.weight     0.092285      204   0.00045238
model.model.layers.3.mlp.gate_proj.weight              0.451172     1000   0.00045117
model.model.layers.24.self_attn.k_norm.weight          0.005280       12   0.00043996
model.model.layers.13.self_attn.o_proj.weight          0.435547     1000   0.00043555
model.model.layers.8.self_attn.v_proj.weight           0.429688     1000   0.00042969
model.model.layers.9.self_attn.o_proj.weight           0.429688     1000   0.00042969
model.model.layers.5.self_attn.v_proj.weight           0.425781     1000   0.00042578
model.model.layers.10.mlp.down_proj.weight             0.419922     1000   0.00041992
model.model.layers.0.mlp.down_proj.weight              0.414062     1000   0.00041406
model.model.layers.20.self_attn.v_proj.weight          0.414062     1000   0.00041406
model.model.layers.4.self_attn.v_proj.weight           0.408203     1000   0.00040820
model.model.layers.10.mlp.up_proj.weight               0.406250     1000   0.00040625
model.model.layers.26.mlp.down_proj.weight             0.406250     1000   0.00040625
model.model.layers.10.self_attn.o_proj.weight          0.404297     1000   0.00040430
model.model.layers.4.mlp.up_proj.weight                0.400391     1000   0.00040039
model.model.layers.9.mlp.down_proj.weight              0.398438     1000   0.00039844
model.model.layers.12.self_attn.o_proj.weight          0.398438     1000   0.00039844
model.model.layers.19.self_attn.v_proj.weight          0.396484     1000   0.00039648
model.model.layers.14.self_attn.o_proj.weight          0.388672     1000   0.00038867
model.model.layers.17.self_attn.o_proj.weight          0.386719     1000   0.00038672
model.model.layers.7.mlp.down_proj.weight              0.384766     1000   0.00038477
model.model.layers.4.self_attn.o_proj.weight           0.382812     1000   0.00038281
model.model.layers.11.mlp.up_proj.weight               0.382812     1000   0.00038281
model.model.layers.8.post_attention_layernorm.weight     0.077637      204   0.00038057
model.model.layers.13.self_attn.q_proj.weight          0.378906     1000   0.00037891
model.model.layers.12.mlp.up_proj.weight               0.376953     1000   0.00037695
model.model.layers.9.mlp.up_proj.weight                0.371094     1000   0.00037109
model.model.layers.24.self_attn.v_proj.weight          0.371094     1000   0.00037109
model.model.layers.10.input_layernorm.weight           0.075684      204   0.00037100
model.model.layers.11.mlp.down_proj.weight             0.369141     1000   0.00036914
model.model.layers.12.mlp.down_proj.weight             0.369141     1000   0.00036914
model.model.layers.11.mlp.gate_proj.weight             0.367188     1000   0.00036719
model.model.layers.26.mlp.up_proj.weight               0.365234     1000   0.00036523
model.model.layers.16.self_attn.o_proj.weight          0.359375     1000   0.00035937
model.model.layers.2.self_attn.v_proj.weight           0.355469     1000   0.00035547
model.model.layers.10.mlp.gate_proj.weight             0.355469     1000   0.00035547
model.model.layers.21.self_attn.v_proj.weight          0.353516     1000   0.00035352
model.model.layers.8.mlp.up_proj.weight                0.351562     1000   0.00035156
model.model.layers.15.self_attn.o_proj.weight          0.351562     1000   0.00035156
model.model.layers.7.mlp.up_proj.weight                0.349609     1000   0.00034961
model.model.layers.7.self_attn.o_proj.weight           0.347656     1000   0.00034766
model.model.layers.23.self_attn.v_proj.weight          0.345703     1000   0.00034570
model.model.layers.6.mlp.up_proj.weight                0.343750     1000   0.00034375
model.model.layers.13.mlp.down_proj.weight             0.343750     1000   0.00034375
model.model.layers.3.self_attn.o_proj.weight           0.341797     1000   0.00034180
model.model.layers.12.mlp.gate_proj.weight             0.341797     1000   0.00034180
model.model.layers.13.mlp.up_proj.weight               0.341797     1000   0.00034180
model.model.layers.8.mlp.down_proj.weight              0.339844     1000   0.00033984
model.model.layers.13.self_attn.k_proj.weight          0.337891     1000   0.00033789
model.model.layers.6.mlp.down_proj.weight              0.335938     1000   0.00033594
model.model.layers.13.mlp.gate_proj.weight             0.333984     1000   0.00033398
model.model.layers.19.self_attn.o_proj.weight          0.332031     1000   0.00033203
model.model.layers.1.self_attn.v_proj.weight           0.330078     1000   0.00033008
model.model.layers.8.mlp.gate_proj.weight              0.330078     1000   0.00033008
model.model.layers.18.self_attn.o_proj.weight          0.330078     1000   0.00033008
model.model.layers.25.self_attn.v_proj.weight          0.330078     1000   0.00033008
model.model.layers.9.mlp.gate_proj.weight              0.328125     1000   0.00032813
model.model.layers.1.mlp.down_proj.weight              0.326172     1000   0.00032617
model.model.layers.3.mlp.down_proj.weight              0.324219     1000   0.00032422
model.model.layers.14.mlp.up_proj.weight               0.324219     1000   0.00032422
model.model.layers.7.mlp.gate_proj.weight              0.322266     1000   0.00032227
model.model.layers.4.mlp.gate_proj.weight              0.320312     1000   0.00032031
model.model.layers.5.mlp.up_proj.weight                0.320312     1000   0.00032031
model.model.layers.16.mlp.up_proj.weight               0.320312     1000   0.00032031
model.model.layers.20.self_attn.o_proj.weight          0.320312     1000   0.00032031
model.model.layers.8.self_attn.o_proj.weight           0.318359     1000   0.00031836
model.model.layers.5.mlp.down_proj.weight              0.314453     1000   0.00031445
model.model.layers.4.mlp.down_proj.weight              0.312500     1000   0.00031250
model.model.layers.6.mlp.gate_proj.weight              0.310547     1000   0.00031055
model.model.layers.14.mlp.gate_proj.weight             0.310547     1000   0.00031055
model.model.layers.22.self_attn.v_proj.weight          0.308594     1000   0.00030859
model.model.layers.15.mlp.up_proj.weight               0.306641     1000   0.00030664
model.model.layers.12.self_attn.k_proj.weight          0.304688     1000   0.00030469
model.model.layers.15.mlp.gate_proj.weight             0.300781     1000   0.00030078
model.model.layers.8.input_layernorm.weight            0.061035      204   0.00029919
model.model.layers.11.self_attn.q_proj.weight          0.294922     1000   0.00029492
model.model.layers.11.self_attn.k_proj.weight          0.294922     1000   0.00029492
model.model.layers.12.self_attn.q_proj.weight          0.294922     1000   0.00029492
model.model.layers.16.mlp.down_proj.weight             0.294922     1000   0.00029492
model.model.layers.9.post_attention_layernorm.weight     0.060059      204   0.00029440
model.model.layers.14.self_attn.q_proj.weight          0.292969     1000   0.00029297
model.model.layers.5.input_layernorm.weight            0.059570      204   0.00029201
model.model.layers.1.self_attn.q_proj.weight           0.289062     1000   0.00028906
model.model.layers.6.self_attn.o_proj.weight           0.289062     1000   0.00028906
model.model.layers.6.post_attention_layernorm.weight     0.058594      204   0.00028722
model.model.layers.5.mlp.gate_proj.weight              0.285156     1000   0.00028516
model.model.layers.16.self_attn.q_proj.weight          0.285156     1000   0.00028516
model.model.layers.7.post_attention_layernorm.weight     0.058105      204   0.00028483
model.model.layers.1.self_attn.k_proj.weight           0.283203     1000   0.00028320
model.model.layers.4.self_attn.q_proj.weight           0.281250     1000   0.00028125
model.model.layers.5.self_attn.o_proj.weight           0.281250     1000   0.00028125
model.model.layers.14.self_attn.k_proj.weight          0.281250     1000   0.00028125
model.model.layers.15.mlp.down_proj.weight             0.279297     1000   0.00027930
model.model.layers.26.mlp.gate_proj.weight             0.279297     1000   0.00027930
model.model.layers.13.post_attention_layernorm.weight     0.056396      204   0.00027645
model.model.layers.16.self_attn.k_proj.weight          0.275391     1000   0.00027539
model.model.layers.0.mlp.up_proj.weight                0.273438     1000   0.00027344
model.model.layers.26.self_attn.v_proj.weight          0.271484     1000   0.00027148
model.model.layers.27.self_attn.o_proj.weight          0.271484     1000   0.00027148
model.model.layers.14.mlp.down_proj.weight             0.269531     1000   0.00026953
model.model.layers.9.self_attn.k_proj.weight           0.267578     1000   0.00026758
model.model.layers.15.self_attn.k_proj.weight          0.265625     1000   0.00026563
model.model.layers.16.mlp.gate_proj.weight             0.263672     1000   0.00026367
model.model.layers.24.self_attn.o_proj.weight          0.263672     1000   0.00026367
model.model.layers.17.mlp.gate_proj.weight             0.261719     1000   0.00026172
model.model.layers.17.mlp.up_proj.weight               0.259766     1000   0.00025977
model.model.layers.3.self_attn.q_proj.weight           0.257812     1000   0.00025781
model.model.layers.19.mlp.down_proj.weight             0.257812     1000   0.00025781
model.model.layers.17.mlp.down_proj.weight             0.255859     1000   0.00025586
model.model.layers.18.mlp.gate_proj.weight             0.255859     1000   0.00025586
model.model.layers.26.self_attn.o_proj.weight          0.255859     1000   0.00025586
model.model.layers.18.mlp.up_proj.weight               0.253906     1000   0.00025391
model.model.layers.18.mlp.down_proj.weight             0.251953     1000   0.00025195
model.model.layers.2.self_attn.o_proj.weight           0.250000     1000   0.00025000
model.model.layers.6.self_attn.k_proj.weight           0.250000     1000   0.00025000
model.model.layers.3.self_attn.k_proj.weight           0.249023     1000   0.00024902
model.model.layers.10.self_attn.k_proj.weight          0.247070     1000   0.00024707
model.model.layers.21.self_attn.o_proj.weight          0.247070     1000   0.00024707
model.model.layers.1.post_attention_layernorm.weight     0.050049      204   0.00024534
model.model.layers.23.self_attn.o_proj.weight          0.244141     1000   0.00024414
model.model.layers.20.mlp.down_proj.weight             0.240234     1000   0.00024023
model.model.layers.0.self_attn.k_proj.weight           0.237305     1000   0.00023730
model.model.layers.17.self_attn.k_proj.weight          0.237305     1000   0.00023730
model.model.layers.19.mlp.gate_proj.weight             0.236328     1000   0.00023633
model.model.layers.19.mlp.up_proj.weight               0.236328     1000   0.00023633
model.model.layers.25.self_attn.o_proj.weight          0.235352     1000   0.00023535
model.model.layers.22.self_attn.o_proj.weight          0.234375     1000   0.00023437
model.model.layers.2.self_attn.k_proj.weight           0.233398     1000   0.00023340
model.model.layers.8.self_attn.k_proj.weight           0.232422     1000   0.00023242
model.model.layers.17.self_attn.q_proj.weight          0.232422     1000   0.00023242
model.model.layers.15.self_attn.q_proj.weight          0.230469     1000   0.00023047
model.model.layers.9.self_attn.q_proj.weight           0.228516     1000   0.00022852
model.model.layers.0.mlp.gate_proj.weight              0.226562     1000   0.00022656
model.model.layers.1.self_attn.o_proj.weight           0.225586     1000   0.00022559
model.model.layers.20.mlp.gate_proj.weight             0.225586     1000   0.00022559
model.model.layers.2.post_attention_layernorm.weight     0.045410      204   0.00022260
model.model.layers.2.self_attn.q_proj.weight           0.220703     1000   0.00022070
model.model.layers.21.mlp.up_proj.weight               0.220703     1000   0.00022070
model.model.layers.21.mlp.down_proj.weight             0.219727     1000   0.00021973
model.model.layers.18.self_attn.k_proj.weight          0.217773     1000   0.00021777
model.model.layers.20.mlp.up_proj.weight               0.215820     1000   0.00021582
model.model.layers.27.self_attn.v_proj.weight          0.215820     1000   0.00021582
model.model.layers.6.self_attn.q_proj.weight           0.212891     1000   0.00021289
model.model.layers.21.mlp.gate_proj.weight             0.211914     1000   0.00021191
model.model.layers.4.self_attn.k_proj.weight           0.210938     1000   0.00021094
model.model.layers.22.mlp.down_proj.weight             0.209961     1000   0.00020996
model.model.layers.9.input_layernorm.weight            0.042725      204   0.00020943
model.model.layers.10.self_attn.q_proj.weight          0.208984     1000   0.00020898
model.model.layers.12.post_attention_layernorm.weight     0.042480      204   0.00020824
model.model.layers.8.self_attn.q_proj.weight           0.203125     1000   0.00020312
model.model.layers.23.mlp.gate_proj.weight             0.202148     1000   0.00020215
model.model.layers.3.post_attention_layernorm.weight     0.041016      204   0.00020106
model.model.layers.22.mlp.gate_proj.weight             0.195312     1000   0.00019531
model.model.layers.7.input_layernorm.weight            0.039795      204   0.00019507
model.model.layers.22.mlp.up_proj.weight               0.194336     1000   0.00019434
model.model.layers.25.mlp.up_proj.weight               0.194336     1000   0.00019434
model.model.layers.19.self_attn.k_proj.weight          0.192383     1000   0.00019238
model.model.layers.23.mlp.down_proj.weight             0.191406     1000   0.00019141
model.model.layers.24.mlp.up_proj.weight               0.191406     1000   0.00019141
model.model.layers.25.mlp.gate_proj.weight             0.191406     1000   0.00019141
model.model.layers.18.self_attn.q_proj.weight          0.189453     1000   0.00018945
model.model.layers.24.mlp.gate_proj.weight             0.188477     1000   0.00018848
model.model.layers.4.post_attention_layernorm.weight     0.038330      204   0.00018789
model.model.layers.23.mlp.up_proj.weight               0.185547     1000   0.00018555
model.model.layers.25.mlp.down_proj.weight             0.180664     1000   0.00018066
model.model.layers.19.self_attn.q_proj.weight          0.179688     1000   0.00017969
model.model.layers.15.post_attention_layernorm.weight     0.035889      204   0.00017592
model.model.layers.21.self_attn.k_proj.weight          0.173828     1000   0.00017383
model.model.layers.24.mlp.down_proj.weight             0.171875     1000   0.00017187
model.model.layers.14.post_attention_layernorm.weight     0.034912      204   0.00017114
model.model.layers.0.self_attn.q_proj.weight           0.165039     1000   0.00016504
model.model.layers.7.self_attn.k_proj.weight           0.165039     1000   0.00016504
model.model.layers.21.self_attn.q_proj.weight          0.165039     1000   0.00016504
model.model.layers.25.self_attn.q_proj.weight          0.161133     1000   0.00016113
model.model.layers.13.input_layernorm.weight           0.031738      204   0.00015558
model.model.layers.20.self_attn.k_proj.weight          0.153320     1000   0.00015332
model.model.layers.25.self_attn.k_proj.weight          0.153320     1000   0.00015332
model.model.layers.22.self_attn.q_proj.weight          0.152344     1000   0.00015234
model.model.layers.5.self_attn.q_proj.weight           0.149414     1000   0.00014941
model.model.layers.20.self_attn.q_proj.weight          0.149414     1000   0.00014941
model.model.layers.5.self_attn.k_proj.weight           0.148438     1000   0.00014844
model.model.layers.11.input_layernorm.weight           0.030273      204   0.00014840
model.model.layers.22.self_attn.k_proj.weight          0.147461     1000   0.00014746
model.model.layers.7.self_attn.q_proj.weight           0.142578     1000   0.00014258
model.model.layers.24.self_attn.q_proj.weight          0.141602     1000   0.00014160
model.model.layers.16.post_attention_layernorm.weight     0.028442      204   0.00013942
model.model.layers.24.self_attn.k_proj.weight          0.138672     1000   0.00013867
model.model.layers.12.input_layernorm.weight           0.027710      204   0.00013583
model.model.layers.23.self_attn.q_proj.weight          0.132812     1000   0.00013281
model.model.layers.26.self_attn.q_proj.weight          0.132812     1000   0.00013281
model.model.layers.23.self_attn.k_proj.weight          0.131836     1000   0.00013184
model.model.layers.26.self_attn.k_proj.weight          0.128906     1000   0.00012891
model.model.layers.18.post_attention_layernorm.weight     0.022461      204   0.00011010
model.model.layers.19.post_attention_layernorm.weight     0.021362      204   0.00010472
model.model.layers.17.post_attention_layernorm.weight     0.019287      204   0.00009454
model.model.layers.20.post_attention_layernorm.weight     0.018066      204   0.00008856
model.model.layers.14.input_layernorm.weight           0.017700      204   0.00008677
model.model.layers.21.post_attention_layernorm.weight     0.016235      204   0.00007959
model.model.layers.15.input_layernorm.weight           0.015076      204   0.00007390
model.model.layers.27.self_attn.q_proj.weight          0.073242     1000   0.00007324
model.model.layers.16.input_layernorm.weight           0.013000      204   0.00006373
model.model.layers.27.self_attn.k_proj.weight          0.059326     1000   0.00005933
model.model.layers.27.post_attention_layernorm.weight     0.009338      204   0.00004578
model.model.layers.22.post_attention_layernorm.weight     0.008972      204   0.00004398
model.model.layers.23.post_attention_layernorm.weight     0.008362      204   0.00004099
model.model.layers.24.post_attention_layernorm.weight     0.008240      204   0.00004039
model.model.layers.26.post_attention_layernorm.weight     0.006653      204   0.00003261
model.model.layers.25.post_attention_layernorm.weight     0.006287      204   0.00003082
model.model.layers.17.input_layernorm.weight           0.006012      204   0.00002947
model.model.layers.18.input_layernorm.weight           0.005920      204   0.00002902
model.model.layers.19.input_layernorm.weight           0.003906      204   0.00001915
model.model.layers.20.input_layernorm.weight           0.003204      204   0.00001571
model.model.layers.21.input_layernorm.weight           0.002914      204   0.00001429
model.model.layers.22.input_layernorm.weight           0.002579      204   0.00001264
model.model.layers.26.input_layernorm.weight           0.001671      204   0.00000819
model.model.layers.25.input_layernorm.weight           0.001617      204   0.00000793
model.model.layers.23.input_layernorm.weight           0.001579      204   0.00000774
model.model.layers.24.input_layernorm.weight           0.001556      204   0.00000763
model.model.layers.27.input_layernorm.weight           0.001534      204   0.00000752
